Category,Item Name,Unit,Quantity,Base Material Cost (CAD),Labor Multiplier,Regional Multiplier,Subtotal
Demolition,Full Kitchen Rip-out,Each,1,1500,1.0,1.25,=(E2*D2)*F2*G2
Cabinetry,Custom Hardwood (Built-in),Lin Ft,15,800,1.5,1.25,=(E3*D3)*F3*G3
Cabinetry,Semi-Custom Plywood,Lin Ft,15,400,1.5,1.25,=(E4*D4)*F4*G4
Cabinetry,RTA (Stock) - Plywood Box,Lin Ft,15,150,2.0,1.25,=(E5*D5)*F5*G5
Countertops,Quartz (Calacatta Premium),Sq Ft,40,110,1.4,1.25,=(E6*D6)*F6*G6
Countertops,Laminate (High-Def),Sq Ft,40,35,1.6,1.25,=(E7*D7)*F7*G7
Countertops,Butcher Block (Walnut),Sq Ft,12,75,1.5,1.25,=(E8*D8)*F8*G8
Flooring,Luxury Vinyl Plank (LVP),Sq Ft,150,10,1.7,1.25,=(E9*D9)*F9*G9
Flooring,Porcelain Tile (Large Format),Sq Ft,150,22,2.2,1.25,=(E10*D10)*F10*G10
Plumbing,Rough-in (Sink/Dishwasher),Flat Fee,1,1400,1.0,1.25,=(E11*D11)*F11*G11
Plumbing,Fixture Install (Faucet/Sink),Each,1,450,1.0,1.25,=(E12*D12)*F12*G12
Electrical,Kitchen Circuits & Panel Upgrade,Flat Fee,1,3500,1.0,1.25,=(E13*D13)*F13*G13
Electrical,Pot Light Install (Set of 6),Flat Fee,1,900,1.0,1.25,=(E14*D14)*F14*G14
Backsplash,Subway Tile (Ceramic),Sq Ft,30,12,2.5,1.25,=(E15*D15)*F15*G15
Appliances,Range/Oven Installation,Each,1,250,1.0,1.25,=(E16*D16)*F16*G16
Appliances,Fridge/Water Line Connect,Each,1,300,1.0,1.25,=(E17*D17)*F17*G17
Lighting,Island Pendants (Pair),Each,1,350,1.5,1.25,=(E18*D18)*F18*G18
Drywall,Patching & Leveling,Sq Ft,100,5,2.5,1.25,=(E19*D19)*F19*G19
Painting,Walls & Ceiling (Premium),Each,1,850,1.5,1.25,=(E20*D20)*F20*G20
Misc,Permits & Waste Disposal,Each,1,1300,1.0,1.25,=(E21*D21)*F21*G21
